Date_reported,ind_cum_cases,usa_cum_cases,brazil_cum_cases,russia_cum_cases,ind_new_cases,usa_new_cases,china_new_cases,russia_new_cases,brazil_new_cases
2020-12-10,9767371,14024514,6674999,2569126,31521,0,118,27927,51088
2020-12-11,9796769,15499088,6728452,2597711,29398,1474574,131,28585,53453
2020-12-12,9826775,15499088,6781799,2625848,30006,0,100,28137,53347
2020-12-13,9857029,15499088,6836227,2653928,30254,0,101,28080,54428
2020-12-14,9884100,15499088,6880127,2681256,27071,0,114,27328,43900
2020-12-15,9906165,15499088,6901952,2707945,22065,0,103,26689,21825
2020-12-16,9932547,15499088,6927145,2734454,26382,0,112,26509,25193
2020-12-17,9956557,15499088,6970034,2762668,24010,0,96,28214,42889
2020-12-18,9979447,17017929,7040608,2791220,22890,1518841,116,28552,70574
2020-12-19,10004599,17017929,7110434,2819429,25152,0,89,28209,69826
2020-12-20,10031223,17017929,7162978,2848377,26624,0,136,28948,52544
2020-12-21,10055560,17017929,7213155,2877727,24337,0,100,29350,50177
2020-12-22,10075116,17017929,7238600,2906503,19556,0,100,28776,25445
2020-12-23,10099066,17017929,7263619,2933753,23950,0,82,27250,25019
2020-12-24,10123778,17017929,7318821,2963688,24712,0,76,29935,55202
2020-12-25,10146845,18509844,7365517,2992706,23067,1491915,85,29018,46696
2020-12-26,10169118,18509844,7425593,3021964,22273,0,81,29258,60076
2020-12-27,10187850,18509844,7448560,3050248,18732,0,84,28284,22967
2020-12-28,10207871,18509844,7465806,3078035,20021,0,93,27787,17246
2020-12-29,10224303,18509844,7484285,3105037,16432,0,96,27002,18479
2020-12-30,10244852,18509844,7504833,3131550,20549,0,79,26513,20548
2020-12-31,10266674,18509844,7563551,3159297,21822,0,81,27747,58718
2021-01-01,10286709,19807648,7619200,3186336,20035,1297804,89,27039,55649
2021-01-02,10305788,19807648,7675973,3212637,19079,0,67,26301,56773
2021-01-03,10323965,19807648,7700578,3236787,18177,0,65,24150,24605
2021-01-04,10340469,19807648,7716405,3260138,16504,0,78,23351,15827
2021-01-05,10356844,19807648,7733746,3284384,16375,0,89,24246,17341
2021-01-06,10374932,19807648,7753752,3308601,18088,0,66,24217,20006
2021-01-07,10395278,19807648,7810400,3332142,20346,0,90,23541,56648
2021-01-08,10413417,21409370,7873830,3355794,18139,1601722,89,23652,63430
2021-01-09,10431639,21409370,7961673,3379103,18222,0,81,23309,87843
2021-01-10,10450284,21409370,8013708,3401954,18645,0,131,22851,52035
2021-01-11,10466595,21409370,8075998,3425269,16311,0,134,23315,62290
2021-01-12,10479179,21409370,8105790,3448203,12584,0,102,22934,29792
2021-01-13,10495147,21409370,8131612,3471053,15968,0,179,22850,25822
2021-01-14,10512093,21409370,8195637,3495816,16946,0,184,24763,64025
2021-01-15,10527683,23112382,8256536,3520531,15590,1703012,173,24715,60899
2021-01-16,10542841,23112382,8324294,3544623,15158,0,169,24092,67758
2021-01-17,10557985,23112382,8393492,3568209,15144,0,166,23586,69198
2021-01-18,10571773,23112382,8455059,3591066,13788,0,169,22857,61567
2021-01-19,10581837,23112382,8488099,3612800,10064,0,232,21734,33040
2021-01-20,10595660,23112382,8511770,3633952,13823,0,165,21152,23671
2021-01-21,10610883,23112382,8573864,3655839,15223,0,223,21887,62094
2021-01-22,10625428,24486039,8638249,3677352,14545,1373657,175,21513,64385
2021-01-23,10639684,24486039,8697368,3698273,14256,0,178,20921,59119
2021-01-24,10654533,24486039,8753920,3719400,14849,0,164,21127,56552
2021-01-25,10667736,24486039,8816254,3738690,13203,0,205,19290,62334
2021-01-26,10676838,24486039,8844577,3756931,9102,0,155,18241,28323
2021-01-27,10689527,24486039,8871393,3774672,12689,0,140,17741,26816
2021-01-28,10701193,24486039,8933356,3793810,11666,0,117,19138,61963
2021-01-29,10720048,25622656,8996876,3813048,18855,1136617,93,19238,63520
2021-01-30,10733131,25622656,9058687,3832080,13083,0,106,19032,61811
2021-01-31,10746183,25622656,9118513,3850439,13052,0,130,18359,59826
2021-02-01,10757610,25622656,9176975,3868087,11427,0,97,17648,58462
2021-02-02,10766245,25622656,9204731,3884730,8635,0,65,16643,27756
2021-02-03,10777284,25622656,9229322,3901204,11039,0,53,16474,24591
2021-02-04,10790183,25622656,9283418,3917918,12899,0,51,16714,54096
2021-02-05,10802591,26574717,9339420,3934606,12408,952061,44,16688,56002
2021-02-06,10814304,26574717,9396293,3951233,11713,0,54,16627,56873
2021-02-07,10826363,26574717,9447165,3967281,12059,0,31,16048,50872
2021-02-08,10838194,26574717,9497795,3983197,11831,0,44,15916,50630
2021-02-09,10847304,26574717,9524640,3998216,9110,0,47,15019,26845
2021-02-10,10858371,26574717,9548079,4012710,11067,0,45,14494,23439
2021-02-11,10871294,26574717,9599565,4027748,12923,0,21,15038,51486
2021-02-12,10880603,27300556,9659167,4042837,9309,725839,34,15089,59602
2021-02-13,10892746,27300556,9713909,4057698,12143,0,33,14861,54742
2021-02-14,10904940,27300556,9765455,4071883,12194,0,19,14185,51546
2021-02-15,10916589,27300556,9809754,4086090,11649,0,21,14207,44299
2021-02-16,10925710,27300556,9834513,4099323,9121,0,25,13233,24759
